 restaurant_id |                           restaurant_name                            |                                                                                                           restaurant_icon                                                                                                            |                                                                                                                                                                                                                                                                                                                                                                restaurant_description                                                                                                                                                                                                                                                                                                                                                                |                                           restaurant_address                                           | restaurant_latitude | restaurant_longitude |           restaurant_state           |                                                                                                                            food_type                                                                                                                            |    episode_info     
---------------+----------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------+---------------------+----------------------+--------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------
             1 | Sauce Boss Southern Kitchen                                          | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/11/19/0/DV3417-shrimp-and-grits-with-blackened-spiced-butter_s4x3.jpg.rend.hgtvcom.231.174.suffix/1637343510614.jpeg                                                      | Chef Julius' persistence and determination to use food to bring happiness to people has also brought him success. His early culinary lessons came from helping his grandmother and aunts cook while he was growing up. After attending culinary school, he opened Sauce Boss food truck in 2016, specializing in original recipes and mastering sauces made from scratch. In 2019 he was able to expand, bringing his enthusiasm and experience, and open his own restaurant serving Southern food that he learned how to make from his grandmother.                                                                                                                                                                                                 | 877 E 12300 S, Draper, UT 84020, USA                                                                   |          40.5271953 |          -111.866966 | Draper, UT                           | ChIJmVO5uWeHUocRrs9uoWdXT7M                                                                                                                                                                                                                                     | test_episode_info0
             2 | Graze                                                                | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/11/19/0/DV3417-vegan-chikn-bacon-ranch-club-sandwich_s4x3.jpg.rend.hgtvcom.231.174.suffix/1637343535993.jpeg                                                              | Graze is a family-owned, locally-sourced vegan restuarant. Their brunch and dinner menus offer many options for delicious plant-based dishes to be paired with a beverage from their drink menu.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 1888 Eastland Ave, Nashville, TN 37206, USA                                                            |          36.1824453 |          -86.7355728 | Nashville, TN                        | ChIJK8I1wXtoZIgRoI-mJ0f4UHE                                                                                                                                                                                                                                     | test_episode_info0
             3 | '59er Diner and Cabins                                               | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/11/19/0/DV3417-brown-gravy_s4x3.jpg.rend.hgtvcom.231.174.suffix/1637343501634.jpeg                                                                                        | Step back in time at this diner known for their milkshakes, all-day breakfast and '50s inspired theme, complete with a working jukebox and a decorated cabin for rent. Enjoy burgers, fries and meals off the griddle prepared with locally sourced eggs and produce.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 15361 U.S. Rte 2 #9208, Leavenworth, WA 98826, USA                                                     |           47.581006 |         -120.6143138 | Leavenworth, WA                      | EjIxNTM2MSBVLlMuIFJ0ZSAyICM5MjA4LCBMZWF2ZW53b3J0aCwgV0EgOTg4MjYsIFVTQSI7GjkKMRIvChQKEglD_XlCqE2aVBHSKKnEYXCgjBCBeCoUChIJQ9EOvYyatVIRwFLC5C31nqISBDkyMDg                                                                                                         | test_episode_info0
             4 | The Feisty Pint                                                      | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/11/17/0/DV3416_tims-roadkill-hash-2_s4x3.jpg.rend.hgtvcom.231.174.suffix/1637158779041.jpeg                                                                               | The Feisty Pint has traditional features of a pub: 26 beers on tap; mounted televisions; and bar fare like tacos, burgers, wings and fries. However, if you're a feisty patron, you can attempt either of their food challenges: The Feisty Challenge Burger, three angus patties with spicy toppings, or the Roadkill Challenge, three pounds of tater tot hash topped with bacon, jalapeños, onions, cheese and eggs.                                                                                                                                                                                                                                                                                                                              | 359 Colorado Ave, Grand Junction, CO 81501, USA                                                        |          39.0660299 |          -108.566306 | Grand Junction, CO                   | ChIJ16Df8WAcR4cRTDyF7YJgbec                                                                                                                                                                                                                                     | test_episode_info0
             5 | Santo Taco                                                           | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/11/17/0/DV3416_birria-tacos_s4x3.jpg.rend.hgtvcom.231.174.suffix/1637158788785.jpeg                                                                                       | Owners Claudia and Alfonso gained hands-on culinary experience working in restaurants and professional kitchens. When they opened their own establishment, they brought their knowledge of making traditional Mexican food, as well as the skills they developed within the food industry. In addition to a namesake taco, you can find burritos, quesadillas and nacho fries as Santo Taco.                                                                                                                                                                                                                                                                                                                                                         | 910 900 W, Salt Lake City, UT 84116, USA                                                               |   40.78898780000001 |         -111.9162708 | Salt Lake City, UT                   | ChIJPe68gTf0UocR0xlgkpVnnEE                                                                                                                                                                                                                                     | test_episode_info0
             6 | Fattoush Cafe                                                        | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/11/17/0/DV3416_lamb-shank-2_s4x3.jpg.rend.hgtvcom.231.174.suffix/1637158817392.jpeg                                                                                       | Fattoush's halal fare is made with olive oil, grains, vegetables and meats found in the Mediterranean region. They serve up classic Greek cuisine such as salad, falafel, gyros and baklava.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 1716 Charlotte Ave, Nashville, TN 37203, USA                                                           |          36.1584056 |          -86.7996424 | Nashville, TN                        | ChIJNw-yVupmZIgR3eOMewyi4bE                                                                                                                                                                                                                                     | test_episode_info0
             7 | Papito Moe's                                                         | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/10/28/DV3415__carne-frita-moe-fongo_s4x3.jpg.rend.hgtvcom.231.174.suffix/1635440065864.jpeg                                                                               | Papito Moe's prides itself on its authentic Puerto Rican cuisine and its warm service. Whether you visit their restaurant or catch their food truck, they aim to serve delicious empanadillas, moe'fongo and rice bowls with a smile.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | S 5600 W, West Valley City, UT 84081, USA                                                              |          40.6395081 |         -112.0245665 | West Valley City, UT                 | EilTIDU2MDAgVywgV2VzdCBWYWxsZXkgQ2l0eSwgVVQgODQwODEsIFVTQSIuKiwKFAoSCT2Gz25KjVKHERZ8JzdohOilEhQKEgnBJ9jXKI5ShxH-5y-2MZoO5Q                                                                                                                                      | test_episode_info0
             8 | Dump City Dumplings                                                  | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/10/28/DV3415_Chinese-Style-Pork-Dumpling_s4x3.jpg.rend.hgtvcom.231.174.suffix/1635440065990.jpeg                                                                          | You can visit Dump City's restaurant or food cart to try one of their dumpling varieties, including Four Cheese Pizza, vegan Pad Thai and Chinese style Pork.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 384 SW Upper Terrace Dr, Bend, OR 97702, USA                                                           |   44.04642399999999 |         -121.3109807 | Bend, OR                             | ChIJx2nfMjLGuFQRIiOVobXl_Lw                                                                                                                                                                                                                                     | test_episode_info0
             9 | Nicky's Coal Fired                                                   | //food.fnr.sndimg.com/content/dam/images/food/fullset/2021/10/28/DV3415_Spaghetti-with-meatballs_s4x3.jpg.rend.hgtvcom.231.174.suffix/1635440066218.jpeg                                                                             | Nicky's uses locally sourced ingredients and a coal fired oven to give their Italian cuisine a fresh and unique taste. They offer pizza, pasta and meatballs, one of their specialties.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 5026 Centennial Blvd, Nashville, TN 37209, USA                                                         |           36.162462 |   -86.84871299999999 | Nashville, TN                        | ChIJQc9ZYRFhZIgRtUSFdjYffYE                                                                                                                                                                                                                                     | test_episode_info0
